Rod End,    Radial Load, Weight, Through Hole Diameter, Shank Diameter, Shank Thread
JMX3,       2855,        0.03,   0.190,                 0.190,          10-32
JMX5,       4640,        0.07,   0.313,                 0.313,          5/16"-24
JMX4,       5262,        0.04,   0.250,                 0.250,          1/4"-28
JMX6,       9550,        0.11,   0.375,                 0.375,          3/8"-24
JMX7,       10290,       0.16,   0.438,                 0.438,          7/16"-20
JMX8,       16242,       0.25,   0.500,                 0.500,          1/2"-20
JMX10,      17959,       0.38,   0.625,                 0.625,          5/8"-18
JMX12,      28090,       0.60,   0.750,                 0.750,          3/4"-16
JMX14T-770, 45051,       0.91,   0.875,                 0.875,          7/8"-14
JMX16,      107182,      2.74,   1.000,                 1.250,          1-1/4"-12
JMX16-1,    107182,      2.46,   1.000,                 1.000,          1"-14
JMX20,      107182,      2.74,   1.250,                 1.250,          1-1/4"-12
